"","Year","Survey","Leg","Site","Sex","CW","Recruit.Status","Shell.Condition","Egg.Development","Leg.Condition","Bitter","Egg.Percent","Blackmat","Latitude","Longitude","Jul.Day","Depth","Temp","temp_avg"
"150",2009,"RKC",1,"Juneau","2",101,"Mature_Female","3","Uneyed","0","1",80,"0",58.40133333,-134.7896667,157,64,4.26,4.32466658064358
"151",2009,"RKC",1,"Juneau","2",108,"Mature_Female","3","Uneyed","0","0",70,"0",58.41321667,-134.7793333,157,51,4.23647058823529,4.32466658064358
"152",2009,"RKC",1,"Juneau","2",101,"Mature_Female","3","Uneyed","0","0",80,"0",58.44325,-134.8108833,157,66,4.56352941176471,4.32466658064358
"153",2009,"RKC",1,"Juneau","2",108,"Mature_Female","3","Uneyed","0","0",70,"0",58.44325,-134.8108833,157,66,4.56352941176471,4.32466658064358
"154",2009,"RKC",1,"Juneau","2",120,"Mature_Female","3","Uneyed","0","0",70,"0",58.44325,-134.8108833,157,66,4.56352941176471,4.32466658064358
"155",2009,"RKC",1,"Juneau","2",98,"Mature_Female","3","Uneyed","1","1",60,"0",58.44325,-134.8108833,157,66,4.56352941176471,4.32466658064358
"156",2009,"RKC",1,"Juneau","2",107,"Mature_Female","3","Uneyed","1","0",70,"0",58.44325,-134.8108833,157,66,4.56352941176471,4.32466658064358
"157",2009,"RKC",1,"Juneau","2",104,"Mature_Female","3","Uneyed","0","1",60,"0",58.44325,-134.8108833,157,66,4.56352941176471,4.32466658064358
"158",2009,"RKC",1,"Juneau","2",100,"Mature_Female","3","Uneyed","0","0",50,"0",58.44325,-134.8108833,157,66,4.56352941176471,4.32466658064358
"159",2009,"RKC",1,"Juneau","2",109,"Mature_Female","3","Uneyed","0","0",60,"0",58.44325,-134.8108833,157,66,4.56352941176471,4.32466658064358
"160",2009,"RKC",1,"Juneau","2",90,"Mature_Female","3","Uneyed","1","0",80,"0",58.44325,-134.8108833,157,66,4.56352941176471,4.32466658064358
"161",2009,"RKC",1,"Juneau","2",92,"Juvenile_Female","3","Juvenile","1","0",0,"0",58.44325,-134.8108833,157,66,4.56352941176471,4.32466658064358
"162",2009,"RKC",1,"Juneau","2",110,"Mature_Female","3","Uneyed","1","0",70,"0",58.45095,-134.8144833,157,46,4.20352941176471,4.32466658064358
"163",2009,"RKC",1,"Juneau","2",94,"Mature_Female","3","Uneyed","1","1",10,"0",58.45095,-134.8144833,157,46,4.20352941176471,4.32466658064358
"164",2009,"RKC",1,"Juneau","2",101,"Mature_Female","3","Uneyed","1","0",70,"0",58.45095,-134.8144833,157,46,4.20352941176471,4.32466658064358
"165",2009,"RKC",1,"Juneau","2",103,"Mature_Female","3","Uneyed","1","0",80,"0",58.45095,-134.8144833,157,46,4.20352941176471,4.32466658064358
"166",2009,"RKC",1,"Juneau","2",87,"Mature_Female","4","Uneyed","1","0",90,"0",58.45095,-134.8144833,157,46,4.20352941176471,4.32466658064358
"167",2009,"RKC",1,"Juneau","2",105,"Mature_Female","4","Uneyed","0","0",80,"0",58.45095,-134.8144833,157,46,4.20352941176471,4.32466658064358
"168",2009,"RKC",1,"Juneau","2",98,"Mature_Female","5","Uneyed","0","0",80,"0",58.45095,-134.8144833,157,46,4.20352941176471,4.32466658064358
"169",2009,"RKC",1,"Juneau","2",93,"Mature_Female","4","Uneyed","0","0",100,"0",58.45095,-134.8144833,157,46,4.20352941176471,4.32466658064358
"170",2009,"RKC",1,"Juneau","2",110,"Mature_Female","5","Uneyed","1","0",70,"0",58.45095,-134.8144833,157,46,4.20352941176471,4.32466658064358
"171",2009,"RKC",1,"Juneau","2",111,"Mature_Female","3","Uneyed","0","0",80,"0",58.45738333,-134.8584,157,60,4.31882352941177,4.32466658064358
"172",2009,"RKC",1,"Juneau","2",105,"Mature_Female","3","Uneyed","0","1",30,"0",58.45738333,-134.8584,157,60,4.31882352941177,4.32466658064358
"173",2009,"RKC",1,"Juneau","2",85,"Mature_Female","3","Uneyed","0","1",80,"0",58.50601667,-134.8262167,157,35,4.14,4.32466658064358
"174",2009,"RKC",1,"Juneau","2",112,"Mature_Female","5","Uneyed","0","0",80,"0",58.50978333,-134.8301667,157,20,4.55588235294118,4.32466658064358
"175",2009,"RKC",1,"Juneau","2",108,"Mature_Female","5","Uneyed","0","0",50,"0",58.50978333,-134.8301667,157,20,4.55588235294118,4.32466658064358
"176",2009,"RKC",1,"Juneau","2",117,"Mature_Female","5","Uneyed","0","0",70,"0",58.50978333,-134.8301667,157,20,4.55588235294118,4.32466658064358
